08:28:22.759 [main] INFO  testCases.T_001_InvalidLoginTest.invalidLoginTest(T_001_InvalidLoginTest.java:14)oggger - *** Starting T_001_InvalidLoginTest ***
08:28:22.761 [main] INFO  testCases.T_001_InvalidLoginTest.invalidLoginTest(T_001_InvalidLoginTest.java:17)oggger - *** Receiving error message ***
08:39:20.567 [main] INFO  testCases.T_001_InvalidLoginTest.invalidLoginTest(T_001_InvalidLoginTest.java:14)oggger - *** Starting T_001_InvalidLoginTest ***
08:39:20.569 [main] INFO  testCases.T_001_InvalidLoginTest.invalidLoginTest(T_001_InvalidLoginTest.java:17)oggger - *** Receiving error message ***
08:39:20.611 [main] INFO  testCases.T_001_InvalidLoginTest.invalidLoginTest(T_001_InvalidLoginTest.java:20)oggger - *** Checking fail for Locked user ***
08:39:27.815 [main] INFO  testCases.T_002_ValidLoginTest.validLoginTest(T_002_ValidLoginTest.java:12)oggger - *** Starting T_002_ValidLoginTest ***
08:39:27.815 [main] INFO  testCases.T_002_ValidLoginTest.validLoginTest(T_002_ValidLoginTest.java:14)oggger - *** Receiving current Url ***
08:39:27.820 [main] INFO  testCases.T_002_ValidLoginTest.validLoginTest(T_002_ValidLoginTest.java:17)oggger - *** Confirming redirection to Inventory Page ***
08:39:30.769 [main] INFO  testCases.T_003_001SortByName.sortByNameDes(T_003_001SortByName.java:23)oggger - *** Starting T_003_001SortByName ***
08:39:30.774 [main] INFO  testCases.T_003_001SortByName.sortByNameDes(T_003_001SortByName.java:26)oggger - *** Collecting Product List & sortiing them ***
08:39:30.869 [main] INFO  testCases.T_003_001SortByName.sortByNameDes(T_003_001SortByName.java:30)oggger - *** Using sort button on page & collecting the list again ***
08:39:31.118 [main] INFO  testCases.T_003_001SortByName.sortByNameDes(T_003_001SortByName.java:34)oggger - *** Comparing sorted list with result after using sort function ***
08:39:33.792 [main] INFO  testCases.T_003_002SortByPrice.sortByPriceLtoH(T_003_002SortByPrice.java:15)oggger - *** Starting T_003_002SortByPrice ***
08:39:33.792 [main] INFO  testCases.T_003_002SortByPrice.sortByPriceLtoH(T_003_002SortByPrice.java:18)oggger - *** Collecting Item prices and sorting them manually ***
08:39:33.863 [main] INFO  testCases.T_003_002SortByPrice.sortByPriceLtoH(T_003_002SortByPrice.java:22)oggger - *** Using sort functionality & receiving the list again ***
08:39:34.104 [main] INFO  testCases.T_003_002SortByPrice.sortByPriceLtoH(T_003_002SortByPrice.java:26)oggger - *** Comparing two list ***
08:39:36.805 [main] INFO  testCases.T_004ItemsOnCartTest.cartTest(T_004ItemsOnCartTest.java:14)oggger - *** Starting T_004ItemsOnCartTest ***
08:39:36.806 [main] INFO  testCases.T_004ItemsOnCartTest.cartTest(T_004ItemsOnCartTest.java:17)oggger - *** Adding items in cart and receiving selected items from product list ***
08:39:37.133 [main] INFO  testCases.T_004ItemsOnCartTest.cartTest(T_004ItemsOnCartTest.java:20)oggger - *** Directing to Cart page and receiving the list of added items ***
08:39:37.554 [main] INFO  testCases.T_004ItemsOnCartTest.cartTest(T_004ItemsOnCartTest.java:23)oggger - *** Comparing if selected items are visible there ***
08:39:40.135 [main] INFO  testCases.T_005CheckOutTest.checkOutTest(T_005CheckOutTest.java:11)oggger - *** Starting T_005CheckOutTest ***
08:39:40.137 [main] INFO  testCases.T_005CheckOutTest.checkOutTest(T_005CheckOutTest.java:14)oggger - *** Adding items to check using CheckOut page ***
